Date : 2023-04-25 22:58:23
Directory : d:\golang\src\MGA_OJ
Total : 264 files,  27491 codes, 10541 comments, 9003 blanks, all 47035 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\golang\src\MGA_OJ\vo\ProblemCloze.go                                | Go               |          8 |          5 |          2 |         15 |
| d:\golang\src\MGA_OJ\vo\ProblemClozeAns.go                             | Go               |          4 |          5 |          2 |         11 |
| d:\golang\src\MGA_OJ\vo\ProblemFile.go                                 | Go               |          7 |          5 |          2 |         14 |
| d:\golang\src\MGA_OJ\vo\ProblemFileAns.go                              | Go               |          4 |          5 |          2 |         11 |
| d:\golang\src\MGA_OJ\vo\ProblemMCQs.go                                 | Go               |          8 |          5 |          2 |         15 |
| d:\golang\src\MGA_OJ\vo\ProblemMCQsAns.go                              | Go               |          4 |          5 |          2 |         11 |
| d:\golang\src\MGA_OJ\vo\Program.go                                     | Go               |          5 |          5 |          2 |         12 |
| d:\golang\src\MGA_OJ\vo\RankList.go                                    | Go               |          5 |          5 |          3 |         13 |
| d:\golang\src\MGA_OJ\vo\Record.go                                      | Go               |          9 |          5 |          3 |         17 |
| d:\golang\src\MGA_OJ\vo\RecordList.go                                  | Go               |          5 |          5 |          3 |         13 |
| d:\golang\src\MGA_OJ\vo\RecordRabbit.go                                | Go               |          8 |          5 |          3 |         16 |
| d:\golang\src\MGA_OJ\vo\Remark.go                                      | Go               |          6 |          5 |          2 |         13 |
| d:\golang\src\MGA_OJ\vo\Reply.go                                       | Go               |          6 |          5 |          2 |         13 |
| d:\golang\src\MGA_OJ\vo\Score.go                                       | Go               |          4 |          5 |          2 |         11 |
| d:\golang\src\MGA_OJ\vo\Set.go                                         | Go               |         16 |          5 |          3 |         24 |
| d:\golang\src\MGA_OJ\vo\SetApply.go                                    | Go               |         10 |          5 |          3 |         18 |
| d:\golang\src\MGA_OJ\vo\Test.go                                        | Go               |          8 |          5 |          2 |         15 |
| d:\golang\src\MGA_OJ\vo\Thread.go                                      | Go               |          6 |          5 |          2 |         13 |
| d:\golang\src\MGA_OJ\vo\Topic.go                                       | Go               |         11 |          5 |          3 |         19 |
| d:\golang\src\MGA_OJ\vo\User.go                                        | Go               |         52 |         12 |          7 |         71 |
| Total                                                                  |                  |     27,491 |     10,541 |      9,003 |     47,035 |
+------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
